kagalan dakang akit ngeni,said when you are glad that someone is present,Verb + Pronoun + Verb (see) + Time Adverb,good to see you,ikinagagalak kita makita,used when meeting someone after a while,kagalan dakang akit ngeni
ing lagyu ku,phrase used to introduce yourself by identification,Article + Noun (name) + Pronoun,my name is...,ang pangalan ko ay...,used for self-introduction,ing lagyu ku
mayap atsu ka keni,inquiry about a person's reason for visiting the place,Adjective + Verb Phrase + Pronoun + Location,what brings you here,ano ang nagdadala sayo dito,used for asking why someone is visiting a place,mayap atsu ka keni
kamusta ya eng aldo mo,casual greeting to inquire about the person's well-being,Greeting (kamusta) + Pronoun + Noun (day),how is your day,kamusta ang iyong araw,used to ask how someone’s day is going,kamusta ya eng aldo mo
pakananu ka miras keni,to ask about the method of transportation to reach to current location,Interrogative + Pronoun + Verb Phrase,how did you get here,paano ka nakapunta dito,used for asking how someone arrived at a place,pakananu ka miras keni
kamusta eng obra,general inquiry used to ask about a person's job,Greeting + Noun,how's work,kamusta ang trabaho,used to ask about someone’s job,kamusta eng obra
kamusta eng trapik,asks about the condition of the movement of vehicles on roads,Greeting + Noun,how's traffic,kamusta ang trapik,used to ask about road/traffic conditions,kamusta eng trapik
buri ke ini,"an expression of approval, enjoyment, or appreciation",Verb (like) + Pronoun + Demonstrative,i like this,gusto ko ito,used for expressing preference or liking,buri ke ini
"para kaku, iyan ",means to express a personal opinion or point of view about something,Preposition + Pronoun + Demonstrative,"to me, thats...","para sa akin, iyan ay...",used to express a personal opinion,"para kaku, iyan "
pwedeng manyad metung?,informal way to ask for permission to take or receive one of something,Modal (can) + Verb (ask) + Number,can i have one?,pwede pahingi ng isa?,used to politely ask permission to take something,pwedeng manyad metung?
pwedeng mokung sopan keni?,polite way to ask for assistance or support with a specific task or issue,Modal (can) + Verb (help) + Pronoun + Location,can you help me with this?,pwede patulong dito?,used to ask someone for assistance,pwedeng mokung sopan keni?
nung ok keka?,way to ask for permission before taking action or proposing something,Conjunction (if) + Pronoun + Particle,If its ok with you?,kung pwede sa iyo?,used to ask permission before doing something,nung ok keka?
pakipasa me kaya?,request to give an item or a piece of information to a specific person,Verb (pass) + Pronoun + Particle,please pass it to him/her,pwede pakipasa sa kanya ito?,used to ask someone to hand something over,pakipasa me kaya?
